Timestamp,11,12,13,14,21,22,23,24,25,26,27,28,29,210,211,212,213,214,215,31,32,33,34,35,36,37,38,39,310,311,312,41,42,43,44,45,46
2025/06/26 11:53:00 AM GMT+6,20-30,Male,Student,Single,4,4,3,2,1,3,1,3,1,0 time,Yes,Yes,Yes,Yes,0 Hours,1,5,5,5,5,5,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Facebook;YouTube;LinkedIn,5-7 Hours,2,2
2025/06/26 11:56:30 AM GMT+6,20-30,Male,Student,Single,3,1,2,1,2,1,4,1,2,5-7 times,Yes,Yes,No,No,0-1 Hours,1,1,2,1,3,1,No,Yes,Yes,No,No,No,No,No,Facebook,5-7 Hours,1,1
2025/06/26 11:56:45 AM GMT+6,20-30,Male,Student,Single,2,2,1,2,2,2,1,5,2,1-4 times,Yes,Yes,Yes,Yes,0-1 Hours,1,1,1,2,1,2,No,Yes,Yes,No,No,No,No,Yes,Facebook;YouTube;Snapchat,5-7 Hours,1,1
2025/06/26 11:57:01 AM GMT+6,20-30,Male,Student,Single,4,2,1,3,3,4,4,1,2,8-10 times,Yes,Yes,Yes,Yes,7-9 Hours,3,4,4,5,5,5,Yes,No,No,Yes,No,No,Yes,Yes,Facebook;YouTube;LinkedIn,5-7 Hours,4,3
2025/06/26 11:59:28 AM GMT+6,20-30,Male,Student,Single,3,4,2,3,5,5,4,3,5,5-7 times,Yes,Yes,Yes,No,1-3 Hours,3,3,3,4,4,3,Yes,No,No,Yes,No,No,No,Yes,Facebook;YouTube,7-9 Hours,2,1
2025/06/26 12:02:13 PM GMT+6,20-30,Female,Student,Single,5,5,5,3,4,4,5,5,1,More than 10 times,Yes,Yes,Yes,No,4-6 Hours,3,2,3,4,1,1,No,Yes,Yes,No,No,No,Yes,Yes,Facebook;YouTube,5-7 Hours,1,3
2025/06/26 12:02:21 PM GMT+6,20-30,Female,Student,Single,3,3,3,3,4,4,4,3,2,More than 10 times,Yes,Yes,Yes,Yes,4-6 Hours,5,4,4,4,3,4,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Facebook,5-7 Hours,4,4
2025/06/26 12:03:08 PM GMT+6,13-19,Male,Retired,Single,1,2,3,4,5,5,4,3,2,0 time,No,No,Yes,No,More than  Hours,5,4,3,2,1,2,No,Yes,No,Yes,No,Yes,No,Yes,Snapchat,1-3 Hours,1,5
2025/06/26 12:07:21 PM GMT+6,20-30,Female,Student,In Relationship,2,2,1,1,1,3,4,1,1,More than 10 times,Yes,Yes,Yes,No,1-3 Hours,2,3,3,3,5,5,Yes,No,No,No,No,Yes,No,Yes,Facebook;YouTube,5-7 Hours,1,5
2025/06/26 12:08:45 PM GMT+6,40-60,Male,Employed,Married,5,3,2,1,3,3,4,1,1,1-4 times,Yes,Yes,Yes,No,0-1 Hours,1,1,1,2,2,1,No,Yes,Yes,No,No,No,No,,Facebook;YouTube,5-7 Hours,2,3
2025/06/26 12:16:25 PM GMT+6,20-30,Male,Employed,Married,5,2,4,2,4,5,5,5,3,More than 10 times,Yes,Yes,Yes,Yes,1-3 Hours,3,5,3,4,4,4,Yes,Yes,No,Yes,Yes,No,Yes,No,Facebook;YouTube;Whatsapp,5-7 Hours,1,4
2025/06/26 12:16:54 PM GMT+6,40-60,Male,Employed,Married,1,1,1,1,1,1,1,3,1,1-4 times,No,Yes,No,No,0-1 Hours,1,2,1,1,1,1,No,Yes,Yes,Yes,No,No,No,No,Facebook,5-7 Hours,1,1
2025/06/26 12:18:24 PM GMT+6,20-30,Male,Student,In Relationship,3,1,1,2,2,2,2,1,1,5-7 times,Yes,Yes,Yes,No,1-3 Hours,2,1,2,1,1,1,Yes,Yes,Yes,Yes,No,No,Yes,No,Instagram,5-7 Hours,1,2
2025/06/26 12:19:11 PM GMT+6,20-30,Male,Student,Single,4,1,1,1,4,4,2,1,1,1-4 times,Yes,Yes,No,No,1-3 Hours,2,2,2,4,2,1,No,Yes,Yes,No,No,No,Yes,Yes,Facebook;YouTube,5-7 Hours,1,2
2025/06/26 12:19:46 PM GMT+6,20-30,Male,Student,Single,3,2,1,1,2,2,2,2,1,1-4 times,Yes,Yes,Yes,No,1-3 Hours,2,1,1,1,2,1,No,Yes,Yes,No,No,No,No,Yes,YouTube,5-7 Hours,1,2
2025/06/26 12:20:26 PM GMT+6,30-40,Male,Employed,Married,5,3,1,1,2,2,1,1,1,5-7 times,Yes,Yes,Yes,No,1-3 Hours,1,2,1,1,2,2,No,Yes,Yes,No,No,No,No,,Facebook;Instagram;YouTube;LinkedIn,7-9 Hours,2,3
2025/06/26 12:20:59 PM GMT+6,30-40,Male,Employed,Married,5,1,4,3,5,5,5,3,1,More than 10 times,Yes,Yes,Yes,Yes,4-6 Hours,2,4,3,4,4,3,No,Yes,No,No,No,No,Yes,Yes,Facebook,7-9 Hours,2,4
2025/06/26 12:23:02 PM GMT+6,20-30,Male,Student,Single,5,3,3,4,4,5,2,1,2,8-10 times,Yes,Yes,Yes,No,4-6 Hours,3,1,3,5,4,4,Yes,No,No,No,No,No,Yes,Yes,Facebook,7-9 Hours,1,3
